ts,datetime_utc,equity,B&H BTC,Equiponderado
1585065599999,2020-03-24 15:59,11517.44183599,6525.1069374448000000,6370.7075009620000000
1585079999999,2020-03-24 19:59,11517.44183599,6633.9352039411000000,6503.7499218655000000
1585094399999,2020-03-24 23:59,11517.44183599,6680.8164440728000000,6504.3330856180000000
1585108799999,2020-03-25 03:59,11517.44183599,6495.6192019975000000,6358.4780761285000000
1585123199999,2020-03-25 07:59,11517.44183599,6611.9655038329000000,6466.4793797155000000
1585137599999,2020-03-25 11:59,11517.44183599,6459.5742341464000000,6301.1413557430000000
1585151999999,2020-03-25 15:59,11517.44183599,6554.5748625223000000,6373.7841327505000000
1585166399999,2020-03-25 19:59,11517.44183599,6559.6364120062000000,6383.1720479380000000
1585180799999,2020-03-25 23:59,11517.44183599,6614.1644548807000000,6417.9786769675000000
1585195199999,2020-03-26 03:59,11517.44183599,6661.9272564685000000,6463.3456236085000000
1585209599999,2020-03-26 07:59,11517.44183599,6527.4841818208000000,6346.5245970730000000
1585223999999,2020-03-26 11:59,11517.44183599,6540.7472244019000000,6346.9846021075000000
1585238399999,2020-03-26 15:59,11517.44183599,6554.3470432696000000,6353.0987263630000000
1585252799999,2020-03-26 19:59,11517.44183599,6594.8493443257000000,6386.3782879885000000
1585267199999,2020-03-26 23:59,11517.44183599,6673.5262279864000000,6500.2308699400000000
1585281599999,2020-03-27 03:59,11517.44183599,6728.6386767700000000,6548.3583143200000000
1585295999999,2020-03-27 07:59,11517.44183599,6636.4412157208000000,6459.7456197160000000
1585310399999,2020-03-27 11:59,11517.44183599,6557.8534787242000000,6380.9091570940000000
1585324799999,2020-03-27 15:59,11517.44183599,6560.1118608814000000,6388.8955027540000000
1585339199999,2020-03-27 19:59,11517.44183599,6593.9479724998000000,6421.5848696650000000
1585353599999,2020-03-27 23:59,11517.44183599,6298.8626091439000000,6151.3004051845000000
1585367999999,2020-03-28 03:59,11517.44183599,6058.9689360508000000,5912.2686626980000000
1585382399999,2020-03-28 07:59,11517.44183599,6125.7199770919000000,5989.5297088135000000
1585396799999,2020-03-28 11:59,11517.44183599,6177.6924822622000000,6014.6014105150000000
