ts,datetime_utc,equity
1619495999999,2021-04-27 03:59,83463.2326091590000000
1619510399999,2021-04-27 07:59,85199.7581748295000000
1619524799999,2021-04-27 11:59,86119.3304540575000000
1619539199999,2021-04-27 15:59,88099.0954183465000000
1619553599999,2021-04-27 19:59,87065.2521729700000000
1619567999999,2021-04-27 23:59,88185.3170973595000000
1619582399999,2021-04-28 03:59,87179.7117852835000000
1619596799999,2021-04-28 07:59,86579.1342564910000000
1619611199999,2021-04-28 11:59,88698.9458629510000000
1619625599999,2021-04-28 15:59,88191.9439303930000000
1619639999999,2021-04-28 19:59,90025.4814749755000000
1619654399999,2021-04-28 23:59,89980.0350314110000000
1619668799999,2021-04-29 03:59,88455.8858572600000000
1619683199999,2021-04-29 07:59,89388.7878993820000000
1619697599999,2021-04-29 11:59,90029.1404298580000000
1619711999999,2021-04-29 15:59,90080.1929057785000000
1619726399999,2021-04-29 19:59,88486.8736084900000000
1619740799999,2021-04-29 23:59,89541.6963738460000000
1619755199999,2021-04-30 03:59,89291.5788512365000000
1619769599999,2021-04-30 07:59,90330.6411158695000000
1619783999999,2021-04-30 11:59,89464.4179001755000000
1619798399999,2021-04-30 15:59,90866.6211598090000000
1619812799999,2021-04-30 19:59,91864.5328791790000000
1619827199999,2021-04-30 23:59,91943.2314753055000000
1619841599999,2021-05-01 03:59,93705.1949071465000000
1619855999999,2021-05-01 07:59,93931.5551957710000000
1619870399999,2021-05-01 11:59,93950.9424950650000000
1619884799999,2021-05-01 15:59,93923.4248772280000000
1619899199999,2021-05-01 19:59,95479.6452585685000000
1619913599999,2021-05-01 23:59,95935.2198009955000000
1619927999999,2021-05-02 03:59,94277.7340848565000000
1619942399999,2021-05-02 07:59,94171.4807560450000000
1619956799999,2021-05-02 11:59,95388.6625258750000000
1619971199999,2021-05-02 15:59,94981.3244616850000000
1619985599999,2021-05-02 19:59,95887.2967235440000000
1619999999999,2021-05-02 23:59,95439.4259501365000000
1620014399999,2021-05-03 03:59,98501.5765538170000000
1620028799999,2021-05-03 07:59,101045.5560922525000000
1620043199999,2021-05-03 11:59,101095.3402782325000000
1620057599999,2021-05-03 15:59,100840.1088861115000000
1620071999999,2021-05-03 19:59,103967.1863194705000000
1620086399999,2021-05-03 23:59,106737.5045951035000000
1620100799999,2021-05-04 03:59,101343.2573479975000000
1620115199999,2021-05-04 07:59,103434.0673331095000000
1620129599999,2021-05-04 11:59,107348.7066507340000000
1620143999999,2021-05-04 15:59,100438.7381666035000000
1620158399999,2021-05-04 19:59,105021.2176910125000000
1620172799999,2021-05-04 23:59,100382.3803428415000000
1620187199999,2021-05-05 03:59,102482.8044342235000000
1620201599999,2021-05-05 07:59,103500.8308757365000000
1620215999999,2021-05-05 11:59,103925.2854602725000000
1620230399999,2021-05-05 15:59,104108.6091705550000000
1620244799999,2021-05-05 19:59,107859.2774168860000000
1620259199999,2021-05-05 23:59,109000.3488477415000000
1620273599999,2021-05-06 03:59,107424.8958048145000000
1620287999999,2021-05-06 07:59,106748.4023524375000000
1620302399999,2021-05-06 11:59,109248.3032016850000000
1620316799999,2021-05-06 15:59,109445.1049304575000000
1620331199999,2021-05-06 19:59,107388.3637099780000000
1620345599999,2021-05-06 23:59,107694.8211567670000000
1620359999999,2021-05-07 03:59,105851.9047883965000000
1620374399999,2021-05-07 07:59,106114.1812179280000000
1620388799999,2021-05-07 11:59,106672.8675033970000000
1620403199999,2021-05-07 15:59,109879.6935872770000000
1620417599999,2021-05-07 19:59,108806.8531950835000000
1620431999999,2021-05-07 23:59,107917.8413458345000000
1620446399999,2021-05-08 03:59,109508.3338907050000000
1620460799999,2021-05-08 07:59,109591.4647636180000000
1620475199999,2021-05-08 11:59,109920.2820766585000000
1620489599999,2021-05-08 15:59,111524.8884910315000000
1620503999999,2021-05-08 19:59,116363.2862854960000000
1620518399999,2021-05-08 23:59,118529.4385743865000000
1620532799999,2021-05-09 03:59,117497.7171091060000000
1620547199999,2021-05-09 07:59,118714.0364966815000000
1620561599999,2021-05-09 11:59,116724.5699017345000000
1620575999999,2021-05-09 15:59,117068.3794135690000000
1620590399999,2021-05-09 19:59,116658.3219240265000000
1620604799999,2021-05-09 23:59,118534.6970221750000000
1620619199999,2021-05-10 03:59,122073.1997803720000000
1620633599999,2021-05-10 07:59,122756.4765541375000000
1620647999999,2021-05-10 11:59,121701.3821826595000000
1620662399999,2021-05-10 15:59,123874.6685872930000000
1620676799999,2021-05-10 19:59,118828.3744577680000000
1620691199999,2021-05-10 23:59,117835.1128746070000000
1620705599999,2021-05-11 03:59,115436.0916013030000000
1620719999999,2021-05-11 07:59,118158.5928633145000000
1620734399999,2021-05-11 11:59,118131.7256723995000000
1620748799999,2021-05-11 15:59,119669.1354371860000000
1620763199999,2021-05-11 19:59,120997.5883514890000000
1620777599999,2021-05-11 23:59,123459.6181062400000000
1620791999999,2021-05-12 03:59,127640.4464189140000000
1620806399999,2021-05-12 07:59,126712.4219808055000000
1620820799999,2021-05-12 11:59,125632.7540210140000000
1620835199999,2021-05-12 15:59,123226.8545472955000000
1620849599999,2021-05-12 19:59,120305.0154411655000000
1620863999999,2021-05-12 23:59,111968.1593189890000000
1620878399999,2021-05-13 03:59,115073.7326764495000000
1620892799999,2021-05-13 07:59,115895.9315940100000000
1620907199999,2021-05-13 11:59,110240.5354157455000000
1620921599999,2021-05-13 15:59,110224.8451991680000000
1620935999999,2021-05-13 19:59,107522.8676119375000000
1620950399999,2021-05-13 23:59,109580.9308945315000000
1620964799999,2021-05-14 03:59,110993.1369848215000000
1620979199999,2021-05-14 07:59,113480.4149046340000000
1620993599999,2021-05-14 11:59,116454.0793845130000000
1621007999999,2021-05-14 15:59,119792.8402085860000000
1621022399999,2021-05-14 19:59,117319.4993637475000000
1621036799999,2021-05-14 23:59,117827.6750653615000000
1621051199999,2021-05-15 03:59,116592.7832253295000000
1621065599999,2021-05-15 07:59,113322.9462908740000000
1621079999999,2021-05-15 11:59,113422.3049147920000000
1621094399999,2021-05-15 15:59,112842.7323040555000000
1621108799999,2021-05-15 19:59,109573.2354721570000000
1621123199999,2021-05-15 23:59,106512.6216671395000000
1621137599999,2021-05-16 03:59,111419.1801546820000000
1621151999999,2021-05-16 07:59,112836.5577752650000000
1621166399999,2021-05-16 11:59,110896.7452560385000000
1621180799999,2021-05-16 15:59,106687.7794635100000000
1621195199999,2021-05-16 19:59,100712.4134878330000000
1621209599999,2021-05-16 23:59,104872.3305746650000000
1621223999999,2021-05-17 03:59,95314.5133322920000000
1621238399999,2021-05-17 07:59,102837.2514259300000000
1621252799999,2021-05-17 11:59,103026.6216406555000000
1621267199999,2021-05-17 15:59,96555.9247577125000000
1621281599999,2021-05-17 19:59,99118.0308219775000000
1621295999999,2021-05-17 23:59,96591.5377026190000000
1621310399999,2021-05-18 03:59,99539.3473407205000000
1621324799999,2021-05-18 07:59,102601.3561143730000000
1621339199999,2021-05-18 11:59,103220.4140637460000000
1621353599999,2021-05-18 15:59,97749.7272751975000000
1621367999999,2021-05-18 19:59,99195.0742993795000000
1621382399999,2021-05-18 23:59,98366.3382864580000000
1621396799999,2021-05-19 03:59,90897.0922027645000000
1621411199999,2021-05-19 07:59,88223.0141021200000000
1621425599999,2021-05-19 11:59,81362.7488624920000000
1621439999999,2021-05-19 15:59,81170.6809656490000000
1621454399999,2021-05-19 19:59,78939.4391504395000000
