ts,datetime_utc,equity,B&H BTC (OOS),B&H BTC filtrado (OOS),Equiponderado (OOS)
1667548799999,2022-11-04 07:59,10288.697150830000,4926.122391380735508024320866,8974.045490700000000000000000,6240.434630075072955996289406
1667563199999,2022-11-04 11:59,10288.697150830000,4913.431752928849896272430041,8974.045490700000000000000000,6279.373840820287781152176930
1667577599999,2022-11-04 15:59,10288.697150830000,4980.407732585279723717813931,8974.045490700000000000000000,6391.749853684008049719987825
1667591999999,2022-11-04 19:59,10288.697150830000,5044.898163467705589539475324,8974.045490700000000000000000,6519.582702568935202389904082
1667606399999,2022-11-04 23:59,10288.697150830000,5054.453186543155434319900845,8974.045490700000000000000000,6537.213310193291943258736685
1667620799999,2022-11-05 03:59,10288.697150830000,5125.217238129197068662977193,8974.045490700000000000000000,6574.836239967153104996347542
1667635199999,2022-11-05 07:59,10288.697150830000,5110.832124599649140765683244,8974.045490700000000000000000,6611.513637315685640552101583
1667649599999,2022-11-05 11:59,10288.697150830000,5115.662215053747223882551673,8974.045490700000000000000000,6606.424396511112732524357099
1667663999999,2022-11-05 15:59,10288.697150830000,5090.469744258770532079033560,8974.045490700000000000000000,6645.020468630397241396302377
1667678399999,2022-11-05 19:59,10288.697150830000,5098.091297182134602865621100,8974.045490700000000000000000,6624.011787458004057637882119
1667692799999,2022-11-05 23:59,10288.697150830000,5090.505593519934050756298789,8974.045490700000000000000000,6573.370117773563914153331423
1667707199999,2022-11-06 03:59,10288.697150830000,5074.853806095941796262300105,8974.045490700000000000000000,6555.441114254985781612055580
1667721599999,2022-11-06 07:59,10288.697150830000,5065.439790114401791612451150,8974.045490700000000000000000,6558.392230679115874585324094
1667735999999,2022-11-06 11:59,10288.697150830000,5079.920501673719102649119041,8974.045490700000000000000000,6539.550501390391243349356076
1667750399999,2022-11-06 15:59,10288.697150830000,5076.579350533279161927999762,8974.045490700000000000000000,6515.156158656778588647550987
1667764799999,2022-11-06 19:59,10288.697150830000,5065.442180065146026190935498,8974.045490700000000000000000,6475.588116382298203535903779
1667779199999,2022-11-06 23:59,10288.697150830000,4996.391723162720584621137063,8974.045490700000000000000000,6270.022871215804827608235621
1667793599999,2022-11-07 03:59,10288.697150830000,4998.361042575969877292240272,8974.045490700000000000000000,6353.132583204162497079289155
1667807999999,2022-11-07 07:59,10288.697150830000,4931.901292280294718799475670,8974.045490700000000000000000,6159.793247375841706486249961
1667822399999,2022-11-07 11:59,10288.697150830000,4955.255890952955019748529744,8974.045490700000000000000000,6290.945713279040391726993150
1667836799999,2022-11-07 15:59,10288.697150830000,4962.781845846549707395743342,8974.045490700000000000000000,6357.976563517588430876400992
1667851199999,2022-11-07 19:59,10288.697150830000,4982.513279190950387362525008,8974.045490700000000000000000,6410.120883641916827723417185
1667865599999,2022-11-07 23:59,10288.697150830000,4921.239722010264264180796769,8974.045490700000000000000000,6268.316599621534186033219760
1667879999999,2022-11-08 03:59,10288.697150830000,4815.491571430116869983826281,8974.045490700000000000000000,6000.547903831437957913774940
1667894399999,2022-11-08 07:59,10288.697150830000,4731.422664050921337218381530,8974.045490700000000000000000,5991.525411321224368641247541
1667908799999,2022-11-08 11:59,10288.697150830000,4708.034606067841752170546576,8974.045490700000000000000000,5977.543698956537676470219215
1667923199999,2022-11-08 15:59,10288.697150830000,4665.476753165256613099751867,8974.045490700000000000000000,6003.909223510828470255549944
1667937599999,2022-11-08 19:59,10288.697150830000,4363.308110719446151588111083,8974.045490700000000000000000,5410.616434684153296367396122
1667951999999,2022-11-08 23:59,10288.697150830000,4432.757689396158767764795727,8974.045490700000000000000000,5544.617497640403334558154663
1667966399999,2022-11-09 03:59,10288.697150830000,4376.940389764560187262835238,8974.045490700000000000000000,5403.074291907921420685723078
1667980799999,2022-11-09 07:59,10288.697150830000,4359.503309134624702641028185,8974.045490700000000000000000,5271.335671579265251999811954
1667995199999,2022-11-09 11:59,10288.697150830000,4258.494430880294477578520880,8974.045490700000000000000000,5141.509215901545095308244067
1668009599999,2022-11-09 15:59,10288.697150830000,4090.719888635027067977252358,8974.045490700000000000000000,4868.069427175674415638313103
1668023999999,2022-11-09 19:59,10288.697150830000,4011.507361168116198692003870,8974.045490700000000000000000,4770.322930182482767555881018
1668038399999,2022-11-09 23:59,10288.697150830000,3805.534236177747521175392402,8974.045490700000000000000000,4514.837580800915676256560784
1668052799999,2022-11-10 03:59,10288.697150830000,3912.312455528660018699117118,8974.045490700000000000000000,4780.590880201358912932606123
1668067199999,2022-11-10 07:59,10288.697150830000,4003.730461446376880303933674,8974.045490700000000000000000,4870.391061522517968873905655
1668081599999,2022-11-10 11:59,10288.697150830000,3918.999537711028369298324373,8974.045490700000000000000000,4768.823461634659348805236178
1668095999999,2022-11-10 15:59,10288.697150830000,4195.394951331013136434750345,8974.045490700000000000000000,5268.357039155716558709504401
1668110399999,2022-11-10 19:59,10288.697150830000,4171.868276204767945834823175,8974.045490700000000000000000,5194.355949326391742359334137
1668124799999,2022-11-10 23:59,10288.697150830000,4206.649229385613766517547688,8974.045490700000000000000000,5263.180461025379503202017063
1668139199999,2022-11-11 03:59,10288.697150830000,4078.301704567984198172577269,8974.045490700000000000000000,5075.006463317188257570661537
1668153599999,2022-11-11 07:59,10288.697150830000,4159.550470068982928326490726,8974.045490700000000000000000,5214.261950349276584012180159
1668167999999,2022-11-11 11:59,10288.697150830000,4146.792912996258748377038142,8974.045490700000000000000000,5218.584533979153787208149799
1668182399999,2022-11-11 15:59,10288.697150830000,4032.211504465420352101915397,8974.045490700000000000000000,5032.183984346690255003812567
1668196799999,2022-11-11 19:59,10288.697150830000,4026.929713320661933651505091,8974.045490700000000000000000,5059.118066804997500658264696
1668211199999,2022-11-11 23:59,10288.697150830000,4079.781084078665402254389024,8974.045490700000000000000000,5135.770465846193985262716729
1668225599999,2022-11-12 03:59,10288.697150830000,4040.855956307316822479804118,8974.045490700000000000000000,5007.179610520355120281233841
1668239999999,2022-11-12 07:59,10288.697150830000,4020.440997050065053066498766,8974.045490700000000000000000,4956.147828830869180515638832
1668254399999,2022-11-12 11:59,10288.697150830000,4031.171875891678310461223776,8974.045490700000000000000000,4942.765749449123991793324863
1668268799999,2022-11-12 15:59,10288.697150830000,4047.619516913500679590510527,8974.045490700000000000000000,4946.420199696714126138563822
1668283199999,2022-11-12 19:59,10288.697150830000,4037.003355707610681963034248,8974.045490700000000000000000,4935.240641175013557984045933
1668297599999,2022-11-12 23:59,10288.697150830000,4018.065386010295882053056303,8974.045490700000000000000000,4891.599408647736535393603485
1668311999999,2022-11-13 03:59,10288.697150830000,4042.567161040188780674597683,8974.045490700000000000000000,4940.767334519608464880810131
1668326399999,2022-11-13 07:59,10288.697150830000,4009.201058699929830454607515,8974.045490700000000000000000,4846.438181578784474645874425
1668340799999,2022-11-13 11:59,10288.697150830000,3981.534988884670349919788648,8974.045490700000000000000000,4785.333196962951131188264835
1668355199999,2022-11-13 15:59,10288.697150830000,3962.788215246894316288558587,8974.045490700000000000000000,4787.989113429137918784714663
1668369599999,2022-11-13 19:59,10288.697150830000,3956.528934247743955238049723,8974.045490700000000000000000,4752.897125181948212799601706
1668383999999,2022-11-13 23:59,10288.697150830000,3902.814791271071803802315962,8974.045490700000000000000000,4698.801244006012368549091464
1668398399999,2022-11-14 03:59,10288.697150830000,3857.391387426149405128787337,8974.045490700000000000000000,4586.084049677794214776010118
1668412799999,2022-11-14 07:59,10288.697150830000,4021.100623455473796728178967,8974.045490700000000000000000,4803.330402315948469674975918
