ts,datetime_utc,equity
1685764799999,2023-06-03 03:59,26885.8880519680000000
1685779199999,2023-06-03 07:59,26916.8120392258000000
1685793599999,2023-06-03 11:59,26872.6051990171000000
1685807999999,2023-06-03 15:59,27046.4114784574000000
1685822399999,2023-06-03 19:59,26839.4921658964000000
1685836799999,2023-06-03 23:59,26812.6094940778000000
1685851199999,2023-06-04 03:59,26804.8438291162000000
1685865599999,2023-06-04 07:59,26893.0693110205000000
1685879999999,2023-06-04 11:59,26940.7132503895000000
1685894399999,2023-06-04 15:59,26921.3486139100000000
1685908799999,2023-06-04 19:59,26955.1351996039000000
1685923199999,2023-06-04 23:59,26858.1634394329000000
1685937599999,2023-06-05 03:59,26589.1089019942000000
1685951999999,2023-06-05 07:59,26575.6477557151000000
1685966399999,2023-06-05 11:59,26519.5844091811000000
1685980799999,2023-06-05 15:59,25760.9859184297000000
1685995199999,2023-06-05 19:59,25387.0255677151000000
1686009599999,2023-06-05 23:59,25484.3043886180000000
1686023999999,2023-06-06 03:59,25486.9094522467000000
1686038399999,2023-06-06 07:59,25478.4900450817000000
1686052799999,2023-06-06 11:59,25443.1384401736000000
1686067199999,2023-06-06 15:59,25819.0104915739000000
1686081599999,2023-06-06 19:59,26823.4160508037000000
1686095999999,2023-06-06 23:59,26971.9442983792000000
1686110399999,2023-06-07 03:59,26653.9185267949000000
1686124799999,2023-06-07 07:59,26541.8512648363000000
1686139199999,2023-06-07 11:59,26641.1705538286000000
1686153599999,2023-06-07 15:59,26099.7333368248000000
1686167999999,2023-06-07 19:59,26231.3732441458000000
1686182399999,2023-06-07 23:59,26089.6498585966000000
1686196799999,2023-06-08 03:59,26094.4340629033000000
1686211199999,2023-06-08 07:59,26194.0009815181000000
1686225599999,2023-06-08 11:59,26181.4313018800000000
1686239999999,2023-06-08 15:59,26468.3646980632000000
1686254399999,2023-06-08 19:59,26288.3082469510000000
1686268799999,2023-06-08 23:59,26247.4097384989000000
1686283199999,2023-06-09 03:59,26232.6411078130000000
1686297599999,2023-06-09 07:59,26242.2788527207000000
1686311999999,2023-06-09 11:59,26357.9317916131000000
1686326399999,2023-06-09 15:59,26226.3711257713000000
1686340799999,2023-06-09 19:59,26156.8169174035000000
1686355199999,2023-06-09 23:59,26226.8069539069000000
1686369599999,2023-06-10 03:59,26073.5341227643000000
1686383999999,2023-06-10 07:59,25407.9255078541000000
1686398399999,2023-06-10 11:59,25487.4740477860000000
1686412799999,2023-06-10 15:59,25385.8468507120000000
1686427199999,2023-06-10 19:59,25505.8976917000000000
1686441599999,2023-06-10 23:59,25596.2428831729000000
1686455999999,2023-06-11 03:59,25483.6209308599000000
1686470399999,2023-06-11 07:59,25497.3098963917000000
1686484799999,2023-06-11 11:59,25551.5209733494000000
1686499199999,2023-06-11 15:59,25507.2447968464000000
1686513599999,2023-06-11 19:59,25784.1244303561000000
