ts,datetime_utc,equity,B&H BTC,B&H BTC filtrado
1688083199999,2023-06-29 23:59,28050.9951081600000000,30158.6700999619000000,34726.0727647323000000
1688097599999,2023-06-30 03:59,28220.2397541000000000,30453.5870751745000000,35065.6536697065000000
1688111999999,2023-06-30 07:59,28231.6311113400000000,30473.4370657141000000,35088.5098574397000000
1688126399999,2023-06-30 11:59,28314.0081318600000000,30616.9830052849000000,35253.7952230233000000
1688140799999,2023-06-30 15:59,27835.2243848700000000,29782.6791863428000000,34293.1396159476000000
1688155199999,2023-06-30 19:59,28008.3912047100000000,30084.4307391364000000,34640.5901663988000000
1688169599999,2023-06-30 23:59,28065.0296695500000000,30183.1260014800000000,34754.2324092000000000
1688183999999,2023-07-01 03:59,28022.9714598600000000,30109.8375384049000000,34669.8447180633000000
1688198399999,2023-07-01 07:59,28058.1402858300000000,30171.1209173812000000,34740.4092058404000000
1688212799999,2023-07-01 11:59,28094.0310191700000000,30233.6622548398000000,34812.4221645966000000
1688227199999,2023-07-01 15:59,28122.2024595300000000,30282.7523512042000000,34868.9467486314000000
1688241599999,2023-07-01 19:59,28143.1946163600000000,30319.3321990399000000,34911.0664598583000000
1688255999999,2023-07-01 23:59,28129.7739604500000000,30295.9460574910000000,34884.1385859870000000
1688270399999,2023-07-02 03:59,28086.2378301600000000,30220.0822463419000000,34796.7855211923000000
1688284799999,2023-07-02 07:59,28088.3410248600000000,30223.7471647549000000,34801.0054760133000000
1688299199999,2023-07-02 11:59,28106.3773404900000000,30255.1763164426000000,34837.1944399242000000
1688313599999,2023-07-02 15:59,28079.8145598600000000,30208.8893874049000000,34783.8975510633000000
1688327999999,2023-07-02 19:59,28113.7669434900000000,30268.0530568126000000,34852.0213082142000000
1688342399999,2023-07-02 23:59,28147.4692174800000000,30326.7808980847000000,34919.6432328999000000
1688356799999,2023-07-03 03:59,28226.8335537000000000,30465.0770896585000000,35078.8837983345000000
