ts,datetime_utc,equity,B&H BTC (OOS)
1685951999999,2023-06-05 07:59,11146.04700147741928445368649,6431.509640443491672115896522
1685966399999,2023-06-05 11:59,11146.04700147741928445368649,6417.941960573868933486163260
1685980799999,2023-06-05 15:59,11146.04700147741928445368649,6234.356389815047898027373221
1685995199999,2023-06-05 19:59,11146.04700147741928445368649,6143.855650274811701167488136
1686009599999,2023-06-05 23:59,11146.04700147741928445368649,6167.397732253533417789857459
1686023999999,2023-06-06 03:59,11146.04700147741928445368649,6168.028173915319774726186054
1686038399999,2023-06-06 07:59,11146.04700147741928445368649,6165.990624818291624931968161
1686052799999,2023-06-06 11:59,11146.04700147741928445368649,6157.435315727358134796010915
1686067199999,2023-06-06 15:59,11146.04700147741928445368649,6248.398698768448958609171357
1686081599999,2023-06-06 19:59,11146.04700147741928445368649,6491.471114694153012060092250
1686095999999,2023-06-06 23:59,11146.04700147741928445368649,6527.415877882314313429853782
1686110399999,2023-06-07 03:59,11146.04700147741928445368649,6450.451655696099248202849214
1686124799999,2023-06-07 07:59,11146.04700147741928445368649,6423.330678656362204941930110
1686139199999,2023-06-07 11:59,11135.24533287779520376711838,6447.366566651540155514427535
1686153599999,2023-06-07 15:59,11091.07906603447674812401452,6316.335379896536950747911708
1686167999999,2023-06-07 19:59,11087.03659949473628644650032,6348.193059307718257530447937
1686182399999,2023-06-07 23:59,11087.03659949473628644650032,6313.895115213272648994366043
1686196799999,2023-06-08 03:59,11087.03659949473628644650032,6315.052922523701585877433387
1686211199999,2023-06-08 07:59,11087.03659949473628644650032,6339.148738433498011443878396
1686225599999,2023-06-08 11:59,11087.03659949473628644650032,6336.106797487464220751098978
1686239999999,2023-06-08 15:59,11087.03659949473628644650032,6405.546470714183565738044762
1686254399999,2023-06-08 19:59,11087.03659949473628644650032,6361.971685436798028138876698
1686268799999,2023-06-08 23:59,11087.03659949473628644650032,6352.073991058410698138493546
1686283199999,2023-06-09 03:59,11087.03659949473628644650032,6348.499890230564849499459572
1686297599999,2023-06-09 07:59,11087.03659949473628644650032,6350.832284667515896263899584
1686311999999,2023-06-09 11:59,11087.03659949473628644650032,6378.821017910928457437179720
1686326399999,2023-06-09 15:59,11087.03659949473628644650032,6346.982515432425062652706718
1686340799999,2023-06-09 19:59,11087.03659949473628644650032,6330.149962774387806352709021
1686355199999,2023-06-09 23:59,11087.03659949473628644650032,6347.087988562153578642054468
1686369599999,2023-06-10 03:59,11087.03659949473628644650032,6309.995006529902296388257206
1686383999999,2023-06-10 07:59,11087.03659949473628644650032,6148.913566268610990656664317
1686398399999,2023-06-10 11:59,11087.03659949473628644650032,6168.164809560649897712386548
1686412799999,2023-06-10 15:59,11087.03659949473628644650032,6143.570393401227760196297631
1686427199999,2023-06-10 19:59,11087.03659949473628644650032,6172.623446408264437262086878
1686441599999,2023-06-10 23:59,11087.03659949473628644650032,6194.487546777668854053923819
1686455999999,2023-06-11 03:59,11087.03659949473628644650032,6167.232331209186426806562124
1686470399999,2023-06-11 07:59,11087.03659949473628644650032,6170.545146329295724471984628
1686484799999,2023-06-11 11:59,11087.03659949473628644650032,6183.664565397572270146989953
1686499199999,2023-06-11 15:59,11087.03659949473628644650032,6172.949454263788941229161741
1686513599999,2023-06-11 19:59,11087.03659949473628644650032,6239.956054156998201461835571
1686527999999,2023-06-11 23:59,11087.03659949473628644650032,6214.704828053357578012081122
1686542399999,2023-06-12 03:59,11087.03659949473628644650032,6182.521140786651767262470030
1686556799999,2023-06-12 07:59,11087.03659949473628644650032,6185.323370074211657979459108
1686571199999,2023-06-12 11:59,11087.03659949473628644650032,6229.873781801585968480093857
1686585599999,2023-06-12 15:59,11087.03659949473628644650032,6190.513127480171592455319976
1686599999999,2023-06-12 19:59,11087.03659949473628644650032,6190.417242816782032465003840
1686614399999,2023-06-12 23:59,11087.03659949473628644650032,6209.824298686828974504989793
1686628799999,2023-06-13 03:59,11087.03659949473628644650032,6247.856950420297944663885188
1686643199999,2023-06-13 07:59,11087.03659949473628644650032,6250.270846821130117420093915
1686657599999,2023-06-13 11:59,11087.03659949473628644650032,6278.530454238618185566017136
1686671999999,2023-06-13 15:59,11087.03659949473628644650032,6174.910295630105443031126725
1686686399999,2023-06-13 19:59,11087.03659949473628644650032,6209.260976289415309561882493
1686700799999,2023-06-13 23:59,11087.03659949473628644650032,6216.790319482080507801457082
1686715199999,2023-06-14 03:59,11087.03659949473628644650032,6228.972465965724104571122178
