ts,datetime_utc,equity,B&H BTC filtrado (OOS),B&H ETH (OOS)
1705103999999,2024-01-12 23:59,12262.49922008429726168860717,14375.49924438657088765384894,9891.715902198422913701962831
1705118399999,2024-01-13 03:59,12337.52201779934624255667597,14523.61031310310505097287435,9993.630535473349170949143209
1705132799999,2024-01-13 07:59,12344.62305983008962435488486,14537.62929074999516416120842,10003.27693785335373396676782
1705147199999,2024-01-13 11:59,12320.11580501667039205131025,14489.24672155402074913317742,9969.985085736996522576673117
1705161599999,2024-01-13 15:59,12381.68703530762825130163374,14610.80151554108014519300089,10053.62645271484096532705240
1705175999999,2024-01-13 19:59,12405.01078311592358663884020,14656.84758846257287468964288,10085.31057110119741621420967
1705190399999,2024-01-13 23:59,12423.13864651147986212369869,14692.63587286195088721921116,10109.93634628267247952749527
1705204799999,2024-01-14 03:59,12344.62305983008962435488486,14537.62929074999516416120842,10003.27693785335373396676782
1705219199999,2024-01-14 07:59,12344.16120343784615236800949,14536.71748732580718931969076,10002.64952956847538840464590
1705233599999,2024-01-14 11:59,12307.12609398482274242044032,14463.60225024873395671549314,9952.339227724793053641993944
1705247999999,2024-01-14 15:59,12306.20238120033579844668957,14461.77864340035800703245781,9951.084411155036362517750092
1705262399999,2024-01-14 19:59,12200.32180327851984545550975,14252.74770840526477461453353,9807.251061846675642401298523
1705276799999,2024-01-14 23:59,12119.12167631721442676298280,14092.44126889021644779020937,9696.944842761501513260737383
1705291199999,2024-01-15 03:59,12207.01872096605018926520269,14265.96885805599040981653964,9816.348481977411653052066453
1705305599999,2024-01-15 07:59,12235.79814740772153744737452,14322.78560892570359212860903,9855.443860728893560891788975
1705319999999,2024-01-15 11:59,12311.02300729437703730970130,14471.29559164031999444079842,9957.632985128454094322397696
1705334399999,2024-01-15 15:59,12239.26207034954757734893984,14329.62413460711340343999151,9860.149422865481152607703422
1705348799999,2024-01-15 19:59,12297.60030589480113269113570,14444.79630462485697560919134,9939.398931849177176423229218
1705363199999,2024-01-15 23:59,12231.43937770592377057123817,14314.18046410992957956178609,9849.522695040354174649263297
1705377599999,2024-01-16 03:59,12305.97145300421406245325188,14461.32274168826401961169898,9950.770707012597189736689129
1705391999999,2024-01-16 07:59,12279.01058610700138521940184,14408.09621680129098823810539,9914.145748382823767547821690
1705406399999,2024-01-16 11:59,12286.25595826032085201350929,14422.40013301823984356441374,9923.988215851852813553609407
1705420799999,2024-01-16 15:59,12369.01485054544798866174063,14585.78390908992258547886001,10036.41193789849135896633205
1705435199999,2024-01-16 19:59,12411.21697838669524146247806,14669.09994697509878662253648,10093.74136992925018470522305
1705449599999,2024-01-16 23:59,12449.72425508999471836821249,14745.12155746677118903407165,10146.05153568098224594713864
1705463999999,2024-01-17 03:59,12403.62521393919317067821407,14654.11217819000895016508989,10083.42834624656237952784389
1705478399999,2024-01-17 07:59,12349.03956158091782522938064,14546.34841099379267358322108,10009.27652957750291340455874
1705492799999,2024-01-17 11:59,12321.12611587470298702260014,14491.24129154443194409899731,9971.357541360167903493814831
1705507199999,2024-01-17 15:59,12311.34053356404442430067812,14471.92245649444922714434182,9958.064328324307956896356520
1705521599999,2024-01-17 19:59,12293.53019643815553580679645,14436.76103694920044731831693,9933.869896338686756157029744
1705535999999,2024-01-17 23:59,12284.58172883843826606108606,14419.09484560555843476391221,9921.713860819168810890917424
1705550399999,2024-01-18 03:59,12283.86007822555784108159328,14417.67015275526472407404086,9920.733535374046395950101915
1705564799999,2024-01-18 07:59,12309.98383041182922533923170,14469.24403393589705104738368,9956.221316487477816807623362
1705579199999,2024-01-18 11:59,12262.12396176559944069927092,14374.75840410441815809511583,9891.206132966959257932738766
